idx	letter	header	formula	val_r12
1	A	=HYPERLINK("#$KW$15")	MTP	MTP
2	B	vID	7	7
3	C	vDate	=EDATE($C$6,B12-1)	1986-01-23 00:00:00
4	D	vYear	=DATEDIF(sINPUT_Issue_Date,C12,"y")+1	1
5	E	vMonth	=IF(E11=12,1,E11+1)	7
6	F	vPolicyMonth	=IF(E12<>E11,F11+1,F11)	7
7	G	vAttainedAge	=D12+sINPUT_Issue_Age-1	27
8	H	Monthliversary	True	True
9	I	vAnniversary	=D12<>D11	False
10	J	vBeginningOfYearCalc	=OR(I12,N12)	False
11	K	vInforceValuationDate	=AND(sINPUT_InforceIndicator="Y", sEffectiveValuationDate=C12)	False
12	L	vLiveCalc	=IF(sINPUT_InforceIndicator="N",TRUE,vDate >= sINPUT_ForecastDate)	False
13	M	v1035Date	=IF(INPUT!$B$32="",vID=1,vDate=sINPUT_1035_Exchange_EffectiveDate)	False
14	N	vForecastDate	=AND(sINPUT_InforceIndicator="Y", sINPUT_ForecastDate=C12)	False
15	O	vForecasting	=OR(O11,N12)	False
16	P	Next Anniversary	=DATE(YEAR(vDate)+IF(MONTH(vDate)<sPolicyIssueMonth,0,1),sPolicyIssueMonth, sPolicyIssueDay)	1986-07-23 00:00:00
17	Q	vDaysToNextAnnivesary	=P12-C12	181
18	R	blnLeapPolicyYear	=IF(D12<>D11,MONTH(DATE(YEAR(C12)+1,2,29))=2,R11)	False
19	S	blnLeapCalendarYear	=IF(R12,MONTH(DATE(YEAR(C12),2,29))=2,FALSE)	False
20	T	Leap Day To Remove	=IF(AND(S12,R12),DATE(YEAR(C12),2,29),"")	
21	U	LeapDayRemoval	=IF(T12<>"",AND(T12>C12,T12<=C13))	False
22	V			
23	W	vBAV	=VX11	-67.95171802659586
24	X	vAdvRegIntFactor	=sRates_LNCRG*(vDaysToNextAnnivesary/365)	0.03669589041095891
25	Y	vAdvPrefIntFactor	=sRates_PrefLNCRG*(vDaysToNextAnnivesary/365)	0.028067397260273977
26	Z	LoanAdvanced / B_RegLN_Princ	=VQ11	0
27	AA	=sLoanType="Advance" / B_RegLN_Int	=IF(blnAdvanceLoan,IF(vAnniversary, Z12*vAdvRegIntFactor/(1-vAdvRegIntFactor),0),VR11)	0
28	AB	B_PrefLN_Princ	=VS11	0
29	AC	B_PrefLN_Int	=IF(blnAdvanceLoan,IF(vAnniversary, AB12*vAdvPrefIntFactor/(1-vAdvPrefIntFactor),0),VT11)	0
30	AD	Vbl Ln P	=VU11	0
31	AE	Vbl Ln Int	=VV11	0
32	AF	vBegTotalDebt	=SUM(Z12,AA12,AB12,AC12,AD12,AE12)	0
33	AG	bPrem TD	=OB11	0
34	AH	Beginning Specified Amount / Cov / 1	=EU11	25000
35	AI	Cov / 2	=EV11	0
36	AJ	Cov / 3	=EW11	0
37	AK	APB / 4	=EX11	0
38	AL	Total SA	=SUM(AH12:AJ12)	25000
39	AM	DB Option	=INDEX(vDBO,vID-1)	A
40	AN	Surrender charge rates (SCR) don’t vary by band but do vary by S/N rateclass / So SCR should be looked up once before all pol change and once after / SCR 1	=PolicyRates!F10	0
41	AO	SCR 2	=PolicyRates!G10	0
42	AP	SCR 3	=PolicyRates!H10	0
43	AQ	SC 1	=IF(DQ11,AH12*AN12/1000,0)	0
44	AR	SC 2	=IF(DR11,AI12*AO12/1000,0)	0
45	AS	SC 3	=IF(DS11,AJ12*AP12/1000,0)	0
46	AT	vBSC	=SUM(AQ12:AS12)	0
47	AU	CSV	=W12-AT12-SUM(Z12:AE12)	-67.95171802659586
48	AV	BAV Display	=W12	-67.95171802659586
49	AW			
50	AX	Input Withdrawal	=IF(NOT(vLiveCalc),0,IF(vBeginningOfYearCalc,INDEX(vINPUT_Withdrawal,vYear),0))	0
51	AY	Max Net Allowed	=MAX(0,IF(sINPUT_AllowLoanPayoffByWD, AV12,MIN(AU12-sMD_HoldBack*SW11-25,IF(CT11="A",FC11-25025,AX12))))	0
52	AZ	CostBasis before WD	=OD11	0
53	BA	Current NetWD will be used for Alternative and Guaranteed values when printing the illustration / vAppliedNetWithdrawal	=IF(AND(sblnPrintMode, sAssumption<>"Current"), INDEX(vCurrentAppliedNetWD,$B12), IF(sInput_Sw2LnAtCostBasis,MIN(AX12,AY12,AZ12),MIN(AX12,AY12)))	0
54	BB	Remaining Distribution	=IF(sInput_Sw2LnAtCostBasis,AX12-BA12,0)	0
55	BC	CostBasis after WD	=AZ12-BA12	0
56	BD	vWithdrawalTD	=IF(vInforceValuationDate,sINPUT_WithdrawalTD,BD11+BA12)	0
57	BE	WDYTD	=IF(I12,BA12,BE11+BA12)	0
58	BF	Corridor Rate	=PolicyRates!EF10	2.5
59	BG	Corridor Amount	=IF(BF12*AV12>AL12,BF12*AV12-AL12,0)	0
60	BH	Does WD reduce SA	=IF(AND(BA12>BG12,AM12="A"),TRUE,FALSE)	False
61	BI	Change in SA from Withdrawal / Cov / 1	=IF(BH12,IF($BA12=0,            0,            MIN(AH12,MAX(0,($BA12-SUMIF($AH$5:$AK$5,">"&BI$5,$AH12:$AK12))))      ),0)	0
62	BJ	Cov / 2	=IF(BI12,IF($BA12=0, 0, MIN(AI12,MAX(0,($BA12-SUMIF($AH$5:$AK$5,">"&BJ$5,$AH12:$AK12)))) ),0)	0
63	BK	Cov / 3	=IF(BJ12,IF($BA12=0, 0, MIN(AJ12,MAX(0,($BA12-SUMIF($AH$5:$AK$5,">"&BK$5,$AH12:$AK12)))) ),0)	0
64	BL	APB / 4	=IF(BK12,IF($BA12=0, 0, MIN(AK12,MAX(0,($BA12-SUMIF($AH$5:$AK$5,">"&BL$5,$AH12:$AK12)))) ),0)	0
65	BM	Partial SC	=IF(NOT(sbln_PSC), 0,SUMPRODUCT(BI12:BK12,AN12:AP12)/1000)	0
66	BN	vGrossWD	=IF(BA12>0,BA12+IF(BH12,BM12,0)+sWithdrawalFee,0)	0
67	BO	AV post WD	=W12-BN12	-67.95171802659586
68	BP	vWD_FaceDecrease	=IF(BH12,IF(BA12=0,0,BN12)-IF(sTarget_SA_Basis=1,sWithdrawalFee,0),0)	0
69	BQ	SA After Withdrawal / Cov / 1	=IF($BP12=0, AH12, AH12-MIN(AH12,MAX(0,($BP12-SUMIF($AH$5:$AJ$5,">"&BQ$5,$AH12:$AJ12)))) )	25000
70	BR	Cov / 2	=IF($BP12=0, AI12, AI12-MIN(AI12,MAX(0,($BP12-SUMIF($AH$5:$AJ$5,">"&BR$5,$AH12:$AJ12)))) )	0
71	BS	Cov / 3	=IF($BP12=0, AJ12, AJ12-MIN(AJ12,MAX(0,($BP12-SUMIF($AH$5:$AJ$5,">"&BS$5,$AH12:$AJ12)))) )	0
72	BT	APB / 4	=IF($BP12=0, AK12, AK12-MIN(AK12,MAX(0,($BP12-SUMIF($AH$5:$AJ$5,">"&BT$5,$AH12:$AJ12)))) )	0
73	BU	Total SA	=SUM(BQ12:BS12)	25000
74	BV			
75	BW	Prev DBO	=IF(vLiveCalc*1,CT11,BW11)	A
76	BX	DB	=MAX(IF(BW12="A",BU12,IF(BW12="B",BU12+BO12,IF(BW12="C",BU12+MAX(0,AG12-BD12)))),BO12*IF(sINPUT_Guideline="GPT",OR12,IF(sINPUT_Guideline="CVAT",BO12,1)))	25000
77	BY	Input DBO	=TRIM(INDEX(vINPUT_DBO,vYear))	A
78	BZ	blnChange	=AND(vLiveCalc*1,BW12<>BY12)	False
79	CA	Change Type	=IF(BZ12,BW12&"2"&BY12,"")	
80	CB	Change To Face	=TRUNC(IF(CA12="A2B",-MAX(0,BO12),0)+ IF(CA12="B2A",MAX(0,BO12),0)+ IF(CA12="C2A",AG12,0)+ IF(CA12="C2B",AG12-BO12,0),0)	0
81	CC	DBO Change Allowed	=IF(BU12+CB12>=25000,TRUE,FALSE)	True
82	CD	Decrease - Specified Amount / vDBO_FaceDecrease	=IF(CC12,IF(CB12<0,-CB12,0),0)	0
83	CE	Cov / 1	=IF($CD12=0, BQ12, BQ12-MIN(BQ12,MAX(0,$CD12-SUMIF($BQ$5:$BS$5,">"&CE$5,$BQ12:$BS12))) )	25000
84	CF	Cov / 2	=IF($CD12=0, BR12, BR12-MIN(BR12,MAX(0,$CD12-SUMIF($BQ$5:$BS$5,">"&CF$5,$BQ12:$BS12))) )	0
85	CG	Cov / 3	=IF($CD12=0, BS12, BS12-MIN(BS12,MAX(0,$CD12-SUMIF($BQ$5:$BS$5,">"&CG$5,$BQ12:$BS12))) )	0
86	CH	APB / 4	=IF($CD12=0, BT12, BT12-MIN(BT12,MAX(0,$CD12-SUMIF($BQ$5:$BS$5,">"&CH$5,$BQ12:$BS12))) )	0
87	CI	Partial Surrender Charge / Cov / 1	=MAX((BQ12-CE12)/1000*AN12,0)	0
88	CJ	Cov / 2	=MAX((BR12-CF12)/1000*AO12,0)	0
89	CK	Cov / 3	=MAX((BS12-CG12)/1000*AP12,0)	0
90	CL	APB / 4	0	0
91	CM	Total PSC DBO	=IF(NOT(sbln_PSC),0,SUM(CI12:CL12))	0
92	CN	PSC Flag	=CM12>AT12	False
93	CO	Increase - Specified Amount / vDBO_FaceIncrease	=IF(CC12,IF(CB12>0,CB12,0),0)	0
94	CP	Cov / 1	=CE12+ IF(AND($CC12,$ET11=CP$5),$CO12,0)	25000
95	CQ	Cov / 2	=CF12+ IF(AND($CC12,$ET11=CQ$5),$CO12,0)	0
96	CR	Cov / 3	=CG12+ IF(AND($CC12,$ET11=CR$5),$CO12,0)	0
97	CS	APB / 4	=CH12+ IF(AND($CC12,$ET11=CS$5),$CO12,0)	0
98	CT	DBO	=IF(vInforceValuationDate, sINPUT_DBOption, IF(BW12=BY12,BW12,IF(CC12,BY12,BW12)))	A
99	CU	Total SA	=SUM(CP12:CS12)	25000
100	CV			
101	CW	Input Face	=IFERROR(IF(NOT(vLiveCalc),CW11,INDEX(vINPUT_Specified_Amount,vYear)),CW11)	25000
102	CX	Change in Input Face	=IF(CW12<>CW11,CW12-CU12,0)	0
103	CY	Specified Decrease / vSpecified_FaceDecrease	=IF(CX12<0,-CX12,0)	0
104	CZ	Cov / 1	=IF($CY12=0, CP12, CP12-MIN(CP12, MAX(0, $CY12-SUMIF($CP$5:$CS$5,">"&CZ$5,$CP12:$CR12))) )	25000
105	DA	Cov / 2	=IF($CY12=0, CQ12, CQ12-MIN(CQ12, MAX(0, $CY12-SUMIF($CP$5:$CS$5,">"&DA$5,$CP12:$CR12))) )	0
106	DB	Cov / 3	=IF($CY12=0, CR12, CR12-MIN(CR12, MAX(0, $CY12-SUMIF($CP$5:$CS$5,">"&DB$5,$CP12:$CR12))) )	0
107	DC	APB / 4	=IF($CY12=0, CS12, CS12-MIN(CS12, MAX(0, $CY12-SUMIF($CP$5:$CS$5,">"&DC$5,$CP12:$CR12))) )	0
108	DD	Partial Surrender Charge / Cov / 1	=MAX((CP12-CZ12)/1000*AN12,0)	0
109	DE	Cov / 2	=MAX((CQ12-DA12)/1000*AO12,0)	0
110	DF	Cov / 3	=MAX((CR12-DB12)/1000*AP12,0)	0
111	DG	APB / 4	0	0
112	DH	Total PSC Spec Dec	=IF(NOT(sbln_PSC),0,SUM(DD12:DG12))	0
113	DI	PSC Flag	=IF(DH12=0,FALSE,DH12>BO12)	False
114	DJ	Specified Increase / vSpecified_FaceIncrease	=IF(CX12>0,CX12,0)	0
115	DK	Cov / 1	=IF($DJ12>0,IF(DK$5=$ET11+1,$DJ12,CZ12),CZ12)	25000
116	DL	Cov / 2	=IF($DJ12>0,IF(DL$5=$ET11+1,$DJ12,DA12),DA12)	0
117	DM	Cov / 3	=IF($DJ12>0,IF(DM$5=$ET11+1,$DJ12,DB12),DB12)	0
118	DN	APB / 4	=DC12	0
119	DO	Total SA	=SUM(DK12:DN12)	25000
120	DP			
121	DQ	Active / Cov 1 Active	=IF(vYear>sMaturityYear,FALSE, TRUE)	True
122	DR	vCov2Active	=IF(AND(INDEX(vInforceValuationDate,$B12),sINPUT_OriginalSA2>0),TRUE,IF(DR11,TRUE,IF(DL12>0,TRUE,FALSE)))	False
123	DS	vCov3Active	=IF(AND(INDEX(vInforceValuationDate,B12),sINPUT_OriginalSA3>0),TRUE,IF(DS11,TRUE,IF(DM12>0,TRUE,FALSE)))	False
124	DT	vAPB_Active	=sINPUT_APB_Boolean	False
125	DU	vCov1IssueDate	=sINPUT_Issue_Date	1985-07-23 00:00:00
126	DV	vCov2IssueDate	=IF(DR12,IF(NOT(DR11), IF(sINPUT_IssueDateSA2>3,sINPUT_IssueDateSA2,vDate),DV11),"")	
127	DW	vCov3IssueDate	=IF(DS12,IF(NOT(DS11), IF(sINPUT_IssueDateSA3>3,sINPUT_IssueDateSA3,vDate),DW11),"")	
128	DX	Cov Duration / Months from Coverage Issue / vMonthsFromIssueCov1	=DX11+1	7
129	DY	vMonthsFromIssueCov2	=IF(AND($K12,sINPUT_CurrentSA2>0),DATEDIF(sINPUT_IssueDateSA2,$C12,"M")+1,IF(AND(DR12,NOT(DR11)),1,IF(DY11>0,DY11+1,0)))	0
130	DZ	vMonthsFromIssueCov3	=IF(AND($K12,sINPUT_CurrentSA3>0),DATEDIF(sINPUT_IssueDateSA3,$C12,"M")+1,IF(AND(DS12,NOT(DS11)),1,IF(DZ11>0,DZ11+1,0)))	0
131	EA	Months from Coverage Issue with termination setback / 1	=MAX(0,DX12-IF(sINPUT_InforceIndicator="Y",sINPUT_MonthsTerminatedCov1,0))	7
132	EB	2	=MAX(0,DY12-IF(sINPUT_InforceIndicator="Y",sINPUT_MonthsTerminatedCov2,0))	0
133	EC	3	=MAX(0,DZ12-IF(sINPUT_InforceIndicator="Y",sINPUT_MonthsTerminatedCov3,0))	0
134	ED	Duration by Policy Anniversary / Cov 1	=IF(DX12=0,0,IF(vInforceValuationDate*1,INT((DX12-1)/12)+1, IF(AND(DQ12,NOT(DQ11)),INT((DX12-1)/12)+1,IF($I12,ED11+1,ED11))))	1
135	EE	Cov 2	=IF(DY12=0,0,IF(vInforceValuationDate*1,INT((DY12-1+sIssueDateSA2_MonthOffset)/12)+1, IF(AND(DR12,NOT(DR11)),INT((DY12-1)/12)+1,IF($I12,EE11+1,EE11))))	0
136	EF	Cov 3	=IF(DZ12=0,0,IF(vInforceValuationDate*1,INT((DZ12-1+sIssueDateSA3_MonthOffset)/12)+1, IF(AND(DS12,NOT(DS11)),INT((DZ12-1)/12)+1,IF($I12,EF11+1,EF11))))	0
137	EG	Duration by Policy Anniversary   w termination setback / Cov 1	=IF(NOT(DQ12),0,MAX(1,INT((EA12-1)/12)+1))	1
138	EH	Cov 2		
139	EI	Cov 3		
140	EJ	Dur by Cov Anniversary / vDurByCovAnn1	=INT((DX12-1)/12)+1	1
141	EK	vDurByCovAnn2	=INT((DY12-1)/12)+1	0
142	EL	vDurByCovAnn3	=INT((DZ12-1)/12)+1	0
143	EM	Dur by Cov Anniversary   with termination setback / Cov 1	=IF(NOT(DQ12),0, MAX(1, INT((EA12-1)/12)+1))	1
144	EN	Cov 2	=IF(NOT(DR12),0, MAX(1, INT((EB12-1)/12)+1))	0
145	EO	Cov Duration / Cov 3	=IF(NOT(DS12),0, MAX(1, INT((EC12-1)/12)+1))	0
146	EP	Orignial Specified Amount / vOriginalSA1 / 1	=IF(vInforceValuationDate,INDIRECT("sINPUT_OriginalSA"&EP$5),IF(AND(DQ12,NOT(DQ11)),$CW12-$CW11,EP11))	25000
147	EQ	vOriginalSA2 / 2	=IF(vInforceValuationDate,INDIRECT("sINPUT_OriginalSA"&EQ$5),IF(AND(DR12,NOT(DR11)),DL12,EQ11))	0
148	ER	vOriginalSA3 / 3	=IF(vInforceValuationDate,INDIRECT("sINPUT_OriginalSA"&ER$5),IF(AND(DS12,NOT(DS11)),DM12,ER11))	0
149	ES	vOriginalAPB_SA / APB	=ES11	0
150	ET	vLastActiveSegment	<openpyxl.worksheet.formula.ArrayFormula object at 0x000002405647E390>	1
151	EU	vCurrentSA1 / 1	=IF(vInforceValuationDate,INDIRECT("sINPUT_CurrentSA" & EU$5),DK12)	25000
152	EV	vCurrentSA2 / 2	=IF(vInforceValuationDate,INDIRECT("sINPUT_CurrentSA" & EV$5),DL12)	0
153	EW	vCurrentSA3 / 3	=IF(vInforceValuationDate,INDIRECT("sINPUT_CurrentSA" & EW$5),DM12)	0
154	EX	vCurrentAPB_SA / 4	=_xlfn.SINGLE(IF(AND(sINPUT_APB_Change_Date<>"", sINPUT_APB_Change_Date=_xlfn.SINGLE(vDate)),sINPUT_APB_Change_Amount,IF(AND(sINPUT_APB_Boolean,_xlfn.SINGLE(vInforceValuationDate)*1),sINPUT_APB_Face,DN12)))	0
155	EY	Band Lock / vBandLockCov1 / 1	=IF(vInforceValuationDate,IF( INDIRECT("sINPUT_OriginalSA"&EY$5)>0,INDIRECT("sINPUT_Original_Band_Cov_" & EY$5),0), IF(AND(DQ12,NOT(DQ11)), VLOOKUP($DO12,INDIRECT("mBandTable" & sBandTableCode),2), EY11) )	1
156	EZ	vBandLockCov2 / 2	=IF(vInforceValuationDate,IF( INDIRECT("sINPUT_OriginalSA"&EZ$5)>0,INDIRECT("sINPUT_Original_Band_Cov_" & EZ$5),0), IF(AND(DR12,NOT(DR11)), VLOOKUP($DO12,INDIRECT("mBandTable" & sBandTableCode),2), EZ11) )	0
157	FA	vBandLockCov3 / 3	=IF(vInforceValuationDate,IF( INDIRECT("sINPUT_OriginalSA"&FA$5)>0,INDIRECT("sINPUT_Original_Band_Cov_" & FA$5),0), IF(AND(DS12,NOT(DS11)), VLOOKUP($DO12,INDIRECT("mBandTable" & sBandTableCode),2), FA11) )	0
158	FB	APB	=IF(vInforceValuationDate, IF(sINPUT_Original_APB_SA>0,sINPUT_Original_Band_APB,0), IF(AND(DT12,NOT(DT11)), VLOOKUP($DO12,INDIRECT("mBandTable" & sBandTableCode),2), FB11) )	1
159	FC	vCurrentSA	=SUM(EU12:EW12)	25000
160	FD	Includes APB Amount / vCurrentBand	=VLOOKUP(FC12+EX12,INDIRECT("mBandTable" & sBandTableCode),2)	1
161	FE	Issue Age / Cov / vIssAgeCov1	=FE11	27
162	FF	Cov / vIssAgeCov2	=IF(AND(_xlfn.SINGLE(vInforceValuationDate)*1,DR12), sINPUT_IssueAgeSA2, IF(AND(DR12,NOT(DR11)), IF(sAgeCalc="ALB", TRUNC(YEARFRAC(sINPUT_DOB,_xlfn.SINGLE(vDate)*1),0), IF(sINPUT_ForecastDate-DATE(YEAR(sINPUT_DOB)+DATEDIF(sINPUT_DOB,_xlfn.SINGLE(vDate),"Y"),MONTH(sINPUT_DOB),DAY(sINPUT_DOB))>182,DATEDIF(sINPUT_DOB,DATE(YEAR(sINPUT_DOB)+DATEDIF(sINPUT_DOB, _xlfn.SINGLE(vDate),"Y"),MONTH(sINPUT_DOB),DAY(sINPUT_DOB)),"Y")+1,DATEDIF(sINPUT_DOB,DATE(YEAR(sINPUT_DOB)+DATEDIF(sINPUT_DOB,_xlfn.SINGLE(vDate),"Y"),MONTH(sINPUT_DOB),DAY(sINPUT_DOB)),"Y"))), FF11))	0
163	FG	Cov / vIssAgeCov3	=IF(AND(_xlfn.SINGLE(vInforceValuationDate)*1,DS12), sINPUT_IssueAgeSA3, IF(AND(DS12,NOT(DS11)), IF(sAgeCalc="ALB", TRUNC(YEARFRAC(sINPUT_DOB,_xlfn.SINGLE(vDate)*1),0), IF(sINPUT_ForecastDate-DATE(YEAR(sINPUT_DOB)+DATEDIF(sINPUT_DOB,_xlfn.SINGLE(vDate),"Y"),MONTH(sINPUT_DOB),DAY(sINPUT_DOB))>182,DATEDIF(sINPUT_DOB,DATE(YEAR(sINPUT_DOB)+DATEDIF(sINPUT_DOB, _xlfn.SINGLE(vDate),"Y"),MONTH(sINPUT_DOB),DAY(sINPUT_DOB)),"Y")+1,DATEDIF(sINPUT_DOB,DATE(YEAR(sINPUT_DOB)+DATEDIF(sINPUT_DOB,_xlfn.SINGLE(vDate),"Y"),MONTH(sINPUT_DOB),DAY(sINPUT_DOB)),"Y"))), FG11))	0
164	FH	Rateclass / vRateclassCov1	=IF(sINPUT_Rateclass_Change_Date<>"", IF(sINPUT_Rateclass_Change_Date=vDate, sINPUT_Rateclass_Change_NewRateclassCode,FH11),FH11)	N
165	FI	vRateclassCov2	=IF(vInforceValuationDate,sINPUT_Rateclass_Cov_2,IF(AND(NOT(DR11),DR12),FH12,FI11))	
166	FJ	vRateclassCov3	=IF(vInforceValuationDate,sINPUT_Rateclass_Cov_3,IF(AND(NOT(DS11),DS12),FI12,FJ11))	
167	FK	Substandard / Table Rating 1	=IF(sINPUT_Table_Rating_Change_Date<>"", IF(sINPUT_Table_Rating_Change_Date=vDate, sINPUT_Table_Rating_Change_NewTableRatingCode,FK11),FK11)	0
168	FL	Table Rating 2	=IF(vInforceValuationDate,IF(DR12,sINPUT_TableRatingSA2,IF(AND(DR12,NOT(DR11)),FK12,FL11)),IF(AND(DL12>DL11,DR12,NOT(DR11)),sINPUT_Table_Rating,FL11))	0
169	FM	Table Rating 3	=IF(vInforceValuationDate,IF(DS12,sINPUT_TableRatingSA2,IF(AND(DS12,NOT(DS11)),FL12,FM11)),IF(AND(DM12>DM11,DS12,NOT(DS11)),FL12,FM11))	0
170	FN	vBaseFlat1	=IF(G12<sINPUT_Flat_1_CeaseAge,sINPUT_Flat_1_Amount*IF(sINPUT_Flat_1_CeaseAge-sINPUT_Issue_Age<6,1,IF(sINPUT_FlatDiscount,0.8,1)),0)	0
171	FO	vBaseFlat2	=IF(G12<sINPUT_Flat_2_CeaseAge,sINPUT_Flat_2_Amount*IF(sINPUT_Flat_2_CeaseAge-sINPUT_Issue_Age<6,1,IF(sINPUT_FlatDiscount,0.8,1)),0)	0
172	FP	vCoverage_Change	=IF(NOT(vLiveCalc),FALSE,OR(FC12<>FC11,FH12<>FH11,FI12<>FI11,FJ12<>FJ11,FK12<>FK11,FL12<>FL11,FM12<>FM11,FN12<>FN11,FO12<>FO11))	False
173	FQ	vPolicyChangeAVReduction	=BN12+CM12+DH12	0
174	FR			
175	FS	Premium Waiver / vPW_Active	=IF(vAttainedAge>=sRates_PW_PayupAge,FALSE,IF(AND(sPW_Change_Date<>"",vDate>=sPW_Change_Date),sPW_Change_Active,sINPUT_PW_Boolean))	False
176	FT	vPW_Change	=AND((FS12<>FS11),vAttainedAge<sRates_PW_PayupAge)	False
177	FU	Stipulated Premium Waiver / vPWST_Active	=FV12>0	False
178	FV	vPWST_Units	=IF(AND(sPWST_Change_Date<>"",vDate>=sPWST_Change_Date),sPWST_Change_Amount,IF(sINPUT_PWST_Boolean,IF(vAttainedAge>=sRates_PWSTP_PayupAge,0,sINPUT_PWST_Premium),0))	0
179	FW	vPWST_Change	=IF(OR(FU12<>FU11,FV12<>FV11),vAttainedAge<sRates_PWSTP_PayupAge,FALSE)	False
